"","BC.r1","BC.r2","BC.r3","Pre.r1","Pre.r2","Pre.r3","Pos.r1","Pos.r2","Pos.r3"
"PHYBL_100201T0",374,442,529,1032,612,703,460,269,397
"PHYBL_100217T0",0,0,0,0,0,0,0,0,0
"PHYBL_100229T0",242,228,414,1029,554,746,304,217,305
"PHYBL_100240T0",379,509,572,369,282,307,260,305,320
"PHYBL_100304T0",131,125,109,52,52,77,45,36,33
"PHYBL_100335T0",485,467,533,1319,856,984,467,403,387
"PHYBL_100373T0",0,0,0,0,0,0,0,0,0
"PHYBL_100399T0",39,27,34,79,48,67,14,9,24
"PHYBL_100400T0",54,74,168,9,7,13,75,122,121
"PHYBL_100404T0",885,1438,2047,1125,812,788,361,278,327
"PHYBL_100411T0",119,167,180,201,157,173,88,121,117
"PHYBL_100427T0",142,100,131,58,19,26,575,552,551
"PHYBL_100442T0",77,78,113,2051,937,890,8852,9436,6135
"PHYBL_100445T0",20,21,36,134,87,100,28,30,50
"PHYBL_100497T0",887,1023,1008,1189,1057,951,1646,1701,1531
"PHYBL_100505T0",383,401,461,634,465,556,353,258,314
"PHYBL_100540T0",2775,2841,2453,2235,1868,1011,954,719,826
"PHYBL_100577T0",443,428,537,435,370,255,250,154,210
"PHYBL_100582T0",946,1177,1064,1170,811,910,384,324,801
"PHYBL_100611T0",822,782,1042,1037,749,655,378,477,680
"PHYBL_100613T0",36,36,39,38,9,15,7,19,11
"PHYBL_100614T0",912,920,1222,1969,1293,1057,615,438,498
"PHYBL_100632T0",337,284,316,108,88,128,119,146,126
"PHYBL_100643T0",158,121,168,190,130,111,37,59,61
"PHYBL_100646T0",332,431,485,456,313,393,195,149,197
"PHYBL_100661T0",480,381,407,1501,1308,682,706,593,751
"PHYBL_100673T0",0,0,0,0,0,0,0,0,0
"PHYBL_100690T0",662,796,844,993,739,657,440,278,415
"PHYBL_100694T0",149,229,229,218,177,194,334,296,289
"PHYBL_100719T0",349,410,430,515,364,345,247,193,203
"PHYBL_100772T0",126,158,129,167,115,86,215,147,169
"PHYBL_100837T0",309,407,391,477,382,350,265,200,271
"PHYBL_100857T0",0,4.30932598862802e-06,0,0,0,0,0,0,0
"PHYBL_100869T0",929,942,1119,1001,724,549,489,413,476
"PHYBL_100871T0",720,913,830,627,438,429,181,164,175
"PHYBL_100880T0",4208,3882,2857,2687,2706,2426,1403,1109,1158
"PHYBL_100882T0",249,261,379,579,416,416,156,118,162
"PHYBL_100883T0",2074,2689,2364,1535,1422,1359,629,722,818
"PHYBL_100890T0",256,395,450,477,323,363,221,192,180
"PHYBL_100895T0",400,437,460,385,251,283,216,181,230
"PHYBL_100923T0",152,157,182,415,303,213,157,135,207
"PHYBL_100991T0",133,89,127,11,26,13,16,30,21
"PHYBL_101010T0",77,96,88,172,114,145,64,41,64
"PHYBL_101025T0",156,135,175,233,132,174,152,105,142
"PHYBL_101035T0",177,206,262,297,170,169,84,99,100
"PHYBL_101037T0",615,770,761,874,544,653,296,192,320
"PHYBL_101073T0",128,110,117,307,218,296,163,106,115
"PHYBL_101082T0",432,419,551,852,541,546,280,196,264
"PHYBL_101092T0",1058,1068,1040,2141,1415,1614,1430,1518,1802
"PHYBL_101127T0",0,0,0,0,0,0,0,0,0
"PHYBL_101129T0",165,180,205,49,35,51,57,50,48
"PHYBL_101143T0",0,0,0,0,0,0,0,0,0
"PHYBL_101207T0",946,1157,1126,3236,2687,2888,454,280,451
"PHYBL_101235T0",343,384,412,663,418,459,197,130,204
"PHYBL_101239T0",534,479,515,561,516,370,308,209,270
"PHYBL_101252T0",221,253,208,270,226,218,159,121,148
"PHYBL_101260T0",335,281,366,413,279,296,248,237,208
"PHYBL_101264T0",0,0,0,0,0,0,0,0,0
"PHYBL_101272T0",143,184,244,101,96,118,37,31,65
"PHYBL_101274T0",0,4,2,5.0919171123844,0,1.03535866314704,1,2,0
"PHYBL_101283T0",15.0845173998854,10.6489387628834,9.66345243662693,11.3849389668031,3.13600146521025,10.9920239902351,6.53993139232662,2.15708246360567,7.7379669227667
"PHYBL_101322T0",0,0,0,0,0,0,0,0,0
"PHYBL_101372T0",573,647,670,1829,1123,1037,365,330,448
"PHYBL_101383T0",139,154,199,180,146,107,180,164,166
"PHYBL_101399T0",193,184,273,126,83,155,170,119,155
"PHYBL_101433T0",843,912,1092,1543,1019,994,581,469,625
"PHYBL_101503T0",278,411,376,216,180,251,55,65,75
"PHYBL_101513T0",1199,2261,4061,207,113,528,498,938,1026
"PHYBL_101552T0",1327,1465,1486,2233,1903,1238,729,545,788
"PHYBL_101640T0",842,771,823,1307,981,688,477,359,447
