target_id	length	eff_length	est_counts	tpm
PHYBL_100201T0	759	474.203	374	10.2729
PHYBL_100217T0	519	268.928	0	0
PHYBL_100229T0	879	614.689	242	5.12796
PHYBL_100240T0	900	640.851	379	7.70313
PHYBL_100304T0	996	745.218	131	2.28967
PHYBL_100335T0	984	718.254	485	8.79526
PHYBL_100373T0	507	256.996	0	0
PHYBL_100399T0	753	501.924	39	1.01207
PHYBL_100400T0	825	545.523	54	1.28934
PHYBL_100404T0	897	675.671	885	17.0605
PHYBL_100411T0	858	563.298	119	2.75166
PHYBL_100427T0	819	529.771	142	3.49129
PHYBL_100442T0	819	534.748	77	1.87554
PHYBL_100445T0	903	604.999	20	0.430586
PHYBL_100497T0	876	617.133	887	18.721
PHYBL_100505T0	738	482.639	383	10.3362
PHYBL_100540T0	786	521.777	2775	69.2729
PHYBL_100577T0	471	221.311	443	26.0727
PHYBL_100582T0	792	490.419	946	25.1252
PHYBL_100611T0	588	325.846	822	32.8582
PHYBL_100613T0	789	471.719	36	0.994041
PHYBL_100614T0	651	385.805	912	30.7902
PHYBL_100632T0	864	560.655	337	7.82924
PHYBL_100643T0	576	304.621	158	6.75588
PHYBL_100646T0	807	538.74	332	8.02684
PHYBL_100661T0	762	473.873	480	13.1936
PHYBL_100673T0	549	298.814	0	0
PHYBL_100690T0	831	560.151	662	15.3935
PHYBL_100694T0	543	278.322	149	6.97308
PHYBL_100719T0	714	445.792	349	10.1971
PHYBL_100772T0	639	391.31	126	4.19406
PHYBL_100837T0	732	485.906	309	8.28307
PHYBL_100857T0	741	490.633	0	0
PHYBL_100869T0	840	537.315	929	22.5202
PHYBL_100871T0	615	370.851	720	25.2882
PHYBL_100880T0	573	327.149	4208	167.539
PHYBL_100882T0	792	545.143	249	5.94941
PHYBL_100883T0	792	552.752	2074	48.8723
PHYBL_100890T0	639	388.108	256	8.59158
PHYBL_100895T0	639	366.774	400	14.2052
PHYBL_100923T0	531	269.653	152	7.34216
PHYBL_100991T0	756	451.252	133	3.839
PHYBL_101010T0	564	283.762	77	3.53444
PHYBL_101025T0	756	468.8	156	4.33433
PHYBL_101035T0	654	364.33	177	6.32796
PHYBL_101037T0	720	454.279	615	17.6335
PHYBL_101073T0	795	522.359	128	3.19173
PHYBL_101082T0	528	251.792	432	22.3474
PHYBL_101092T0	576	293.882	1058	46.8919
PHYBL_101127T0	573	322.746	0	0
PHYBL_101129T0	468	218.351	165	9.8427
PHYBL_101143T0	216	42.3684	0	0
PHYBL_101207T0	570	296.913	946	41.4998
PHYBL_101235T0	570	288.109	343	15.5068
PHYBL_101239T0	669	408.702	534	17.0184
PHYBL_101252T0	642	371.848	221	7.74127
PHYBL_101260T0	714	443.082	335	9.84794
PHYBL_101264T0	156	41.3016	0	0
PHYBL_101272T0	588	324.902	143	5.73283
PHYBL_101274T0	720	469.643	0	0
PHYBL_101283T0	720	436.798	15.0845	0.449817
PHYBL_101322T0	606	355.698	0	0
PHYBL_101372T0	591	322.884	573	23.1149
PHYBL_101383T0	594	327.521	139	5.52791
PHYBL_101399T0	588	324.502	193	7.74684
PHYBL_101433T0	663	384.655	843	28.5457
PHYBL_101503T0	696	417.5	278	8.67308
PHYBL_101513T0	642	359.793	1199	43.4062
PHYBL_101552T0	675	441.765	1327	39.1259
PHYBL_101640T0	648	375.703	842	29.1912
PHYBL_101648T0	390	143.411	176	15.9851
PHYBL_101790T0	648	453.194	553	15.8937
PHYBL_101810T0	603	329.291	904	35.758
PHYBL_10188T0	3057	2831.97	794	3.65188
PHYBL_101903T0	549	279.883	92	4.2815
PHYBL_101906T0	477	227.23	399	22.8714
PHYBL_102003T0	504	254.006	0	0
PHYBL_102004T0	507	256.996	0	0
PHYBL_102018T0	492	242.071	1.9995	0.107588
PHYBL_102019T0	537	252.362	85	4.38712
PHYBL_102021T0	492	242.071	1.9995	0.107588
PHYBL_102024T0	537	266.896	13.3101	0.64957
PHYBL_102026T0	537	265.591	0	0
PHYBL_102041T0	519	268.928	2.7176	0.131624
PHYBL_102049T0	531	280.872	0	0
PHYBL_102050T0	600	333.459	259	10.1168
PHYBL_102063T0	573	305.238	451	19.2452
PHYBL_102084T0	543	292.826	0	0
PHYBL_102089T0	540	295.591	12.1006	0.533213
PHYBL_102100T0	540	289.849	0	0
PHYBL_102101T0	528	277.895	0	0
PHYBL_102109T0	540	289.849	0	0
PHYBL_102112T0	540	289.849	0	0
PHYBL_102113T0	540	289.849	0	0
PHYBL_102124T0	516	266.053	14	0.685401
PHYBL_102129T0	540	301.843	3.58434	0.154672
PHYBL_102132T0	540	289.849	0	0
PHYBL_102135T0	540	289.849	0	0
PHYBL_102136T0	540	289.849	0	0
PHYBL_102152T0	540	289.849	0	0
PHYBL_102153T0	324	88.6494	0	0
PHYBL_102157T0	540	289.849	0	0
PHYBL_102160T0	540	309.297	88	3.70588
PHYBL_102164T0	540	270.711	0	0
PHYBL_102175T0	540	289.849	0	0
PHYBL_102179T0	540	289.849	0	0
PHYBL_102181T0	540	262.385	1	0.0496417
PHYBL_102185T0	501	251.026	0	0
PHYBL_102198T0	534	283.872	0	0
PHYBL_102202T0	531	280.872	0	0
PHYBL_102204T0	534	283.872	0	0
PHYBL_102215T0	498	248.056	0	0
PHYBL_102220T0	531	280.872	0	0
PHYBL_102221T0	531	268.347	6.95226	0.337454
PHYBL_102222T0	531	280.872	0	0
PHYBL_102225T0	531	288.945	81.1999	3.66038
