target_id	length	eff_length	est_counts	tpm
PHYBL_100201T0	759	481.534	703	28.4768
PHYBL_100217T0	519	276.283	0	0
PHYBL_100229T0	879	621.566	746	23.4107
PHYBL_100240T0	900	660.727	307	9.06314
PHYBL_100304T0	996	751.817	77	1.99775
PHYBL_100335T0	984	724.01	984	26.5102
PHYBL_100373T0	507	264.368	0	0
PHYBL_100399T0	753	508.61	67	2.56952
PHYBL_100400T0	825	552.302	13	0.459123
PHYBL_100404T0	897	685.682	788	22.4164
PHYBL_100411T0	858	571.763	173	5.90191
PHYBL_100427T0	819	538.181	26	0.942339
PHYBL_100442T0	819	547.308	890	31.7191
PHYBL_100445T0	903	615.389	100	3.16966
PHYBL_100497T0	876	624.041	951	29.7255
PHYBL_100505T0	738	486.499	556	22.2923
PHYBL_100540T0	786	532.533	1011	37.0311
PHYBL_100577T0	471	228.831	255	21.7364
PHYBL_100582T0	792	498.985	910	35.5727
PHYBL_100611T0	588	337.138	655	37.8962
PHYBL_100613T0	789	480.867	15	0.608455
PHYBL_100614T0	651	398.379	1057	51.7536
PHYBL_100632T0	864	568.333	128	4.39308
PHYBL_100643T0	576	313.167	111	6.91367
PHYBL_100646T0	807	549.548	393	13.9492
PHYBL_100661T0	762	483.702	682	27.5023
PHYBL_100673T0	549	306.126	0	0
PHYBL_100690T0	831	563.431	657	22.7451
PHYBL_100694T0	543	289.057	194	13.0912
PHYBL_100719T0	714	454.574	345	14.8039
PHYBL_100772T0	639	392.772	86	4.27091
PHYBL_100837T0	732	494.702	350	13.8002
PHYBL_100857T0	741	498.019	0	0
PHYBL_100869T0	840	555.479	549	19.2782
PHYBL_100871T0	615	383.958	429	21.794
PHYBL_100880T0	573	338.877	2426	139.64
PHYBL_100882T0	792	555.895	416	14.597
PHYBL_100883T0	792	553.61	1359	47.8826
PHYBL_100890T0	639	399.228	363	17.7357
PHYBL_100895T0	639	374.709	283	14.7318
PHYBL_100923T0	531	281.067	213	14.782
PHYBL_100991T0	756	460.768	13	0.55033
PHYBL_101010T0	564	290.219	145	9.7455
PHYBL_101025T0	756	475.973	174	7.13065
PHYBL_101035T0	654	376.339	169	8.7593
PHYBL_101037T0	720	464.426	653	27.4258
PHYBL_101073T0	795	531.807	296	10.8567
PHYBL_101082T0	528	261.955	546	40.6563
PHYBL_101092T0	576	308.456	1614	102.064
PHYBL_101127T0	573	330.086	0	0
PHYBL_101129T0	468	225.883	51	4.40402
PHYBL_101143T0	216	56.6819	0	0
PHYBL_101207T0	570	305.263	2888	184.538
PHYBL_101235T0	570	296.596	459	30.1863
PHYBL_101239T0	669	416.942	370	17.3096
PHYBL_101252T0	642	377.489	218	11.2646
PHYBL_101260T0	714	452.075	296	12.7715
PHYBL_101264T0	156	34.586	0	0
PHYBL_101272T0	588	333.339	118	6.9049
PHYBL_101274T0	720	445.66	1.03536	0.0453158
PHYBL_101283T0	720	446.856	10.992	0.479814
PHYBL_101322T0	606	363.046	0	0
PHYBL_101372T0	591	334.057	1037	60.5509
PHYBL_101383T0	594	339.515	107	6.14733
PHYBL_101399T0	588	332.334	155	9.09743
PHYBL_101433T0	663	397.157	994	48.8188
PHYBL_101503T0	696	424.935	251	11.5216
PHYBL_101513T0	642	374.761	528	27.4816
PHYBL_101552T0	675	446.379	1238	54.0977
PHYBL_101640T0	648	388.639	688	34.5306
PHYBL_101648T0	390	152.464	150	19.1905
PHYBL_101790T0	648	457.341	466	19.875
PHYBL_101810T0	603	336.264	919	53.3085
PHYBL_10188T0	3057	2852.71	220	1.50428
PHYBL_101903T0	549	287.552	4	0.271335
PHYBL_101906T0	477	234.712	505	41.968
PHYBL_102003T0	504	261.383	0	0
PHYBL_102004T0	507	264.368	0	0
PHYBL_102018T0	492	249.536	2.5	0.19542
PHYBL_102019T0	537	264.624	59	4.34896
PHYBL_102021T0	492	249.536	2.5	0.19542
PHYBL_102024T0	537	274.77	7.65914	0.543716
PHYBL_102026T0	537	272.876	87.1244	6.22784
PHYBL_102041T0	519	276.283	0	0
PHYBL_102049T0	531	288.203	0	0
PHYBL_102050T0	600	347.258	302	16.9636
