target_id	length	eff_length	est_counts	tpm
PHYBL_100201T0	759	526.285	460	8.02896
PHYBL_100217T0	519	265.845	0	0
PHYBL_100229T0	879	679.617	304	4.10896
PHYBL_100240T0	900	705.459	260	3.38551
PHYBL_100304T0	996	856.323	45	0.482722
PHYBL_100335T0	984	780.223	467	5.4982
PHYBL_100373T0	507	253.911	0	0
PHYBL_100399T0	753	544.156	14	0.236334
PHYBL_100400T0	825	579.455	75	1.18895
PHYBL_100404T0	897	736.346	361	4.50347
PHYBL_100411T0	858	611.989	88	1.32087
PHYBL_100427T0	819	574.785	575	9.18934
PHYBL_100442T0	819	609.182	8852	133.48
PHYBL_100445T0	903	653.092	28	0.393827
PHYBL_100497T0	876	668.422	1646	22.6204
PHYBL_100505T0	738	536.647	353	6.04238
PHYBL_100540T0	786	585.202	954	14.9749
PHYBL_100577T0	471	218.219	250	10.5237
PHYBL_100582T0	792	538.274	384	6.55315
PHYBL_100611T0	588	347.625	378	9.98857
PHYBL_100613T0	789	505.058	7	0.127315
PHYBL_100614T0	651	432.241	615	13.0699
PHYBL_100632T0	864	621.491	119	1.75887
PHYBL_100643T0	576	326.447	37	1.04115
PHYBL_100646T0	807	588.209	195	3.04527
PHYBL_100661T0	762	520.099	706	12.4693
PHYBL_100673T0	549	295.726	0	0
PHYBL_100690T0	831	601.865	440	6.71547
PHYBL_100694T0	543	305.955	334	10.0279
PHYBL_100719T0	714	483.982	247	4.68803
PHYBL_100772T0	639	423.151	215	4.6673
PHYBL_100837T0	732	528.792	265	4.60345
PHYBL_100857T0	741	487.507	0	0
PHYBL_100869T0	840	577.235	489	7.78177
PHYBL_100871T0	615	396.188	181	4.19662
PHYBL_100880T0	573	357.97	1403	36.0026
PHYBL_100882T0	792	595.402	156	2.40678
PHYBL_100883T0	792	612.966	629	9.4262
PHYBL_100890T0	639	420.244	221	4.83074
PHYBL_100895T0	639	403.693	216	4.91501
PHYBL_100923T0	531	298.981	157	4.82368
PHYBL_100991T0	756	483.1	16	0.304233
PHYBL_101010T0	564	297.512	64	1.97605
PHYBL_101025T0	756	506.747	152	2.75534
PHYBL_101035T0	654	402.213	84	1.91843
PHYBL_101037T0	720	498.038	296	5.45949
PHYBL_101073T0	795	608.295	163	2.46148
PHYBL_101082T0	528	275.773	280	9.32672
PHYBL_101092T0	576	341.471	1430	38.4684
PHYBL_101127T0	573	319.656	0	0
PHYBL_101129T0	468	215.25	57	2.43251
PHYBL_101143T0	216	34.5456	0	0
PHYBL_101207T0	570	312.042	454	13.3649
PHYBL_101235T0	570	302.237	197	5.98744
PHYBL_101239T0	669	449.956	308	6.28786
PHYBL_101252T0	642	385.93	159	3.78452
PHYBL_101260T0	714	497.974	248	4.57475
PHYBL_101264T0	156	34.6358	0	0
PHYBL_101272T0	588	345.005	37	0.985142
PHYBL_101274T0	720	455.945	1	0.020147
PHYBL_101283T0	720	474.178	6.53993	0.126693
PHYBL_101322T0	606	352.603	0	0
PHYBL_101372T0	591	354.903	365	9.44726
PHYBL_101383T0	594	356.502	180	4.63803
PHYBL_101399T0	588	349.685	170	4.46575
PHYBL_101433T0	663	428.982	581	12.4411
PHYBL_101503T0	696	451.195	55	1.11975
PHYBL_101513T0	642	390.677	498	11.7094
PHYBL_101552T0	675	477.655	729	14.0196
PHYBL_101640T0	648	412.08	477	10.6331
PHYBL_101648T0	390	140.149	82	5.37462
PHYBL_101790T0	648	507.664	463	8.37774
PHYBL_101810T0	603	365.587	955	23.9958
PHYBL_10188T0	3057	3101.07	485	1.43666
PHYBL_101903T0	549	305.691	22	0.661092
PHYBL_101906T0	477	224.162	345	14.1377
PHYBL_102003T0	504	250.94	0	0
PHYBL_102004T0	507	253.911	0	0
PHYBL_102018T0	492	239.01	2	0.0768664
PHYBL_102019T0	537	269.968	44	1.49714
PHYBL_102021T0	492	239.01	2	0.0768664
PHYBL_102024T0	537	294.643	28.6	0.891644
PHYBL_102026T0	537	289.934	56.0427	1.77559
PHYBL_102041T0	519	272.682	0	0
PHYBL_102049T0	531	277.787	0	0
PHYBL_102050T0	600	384.588	206	4.92032
PHYBL_102063T0	573	334.813	465	12.7577
PHYBL_102084T0	543	289.726	0	0
PHYBL_102089T0	540	321.925	8.57368	0.244644
PHYBL_102100T0	540	286.743	0	0
PHYBL_102101T0	528	274.795	0	0
PHYBL_102109T0	540	286.743	0	0
PHYBL_102112T0	540	286.743	0	0
PHYBL_102113T0	540	286.743	0	0
PHYBL_102124T0	516	280.4	18	0.58968
PHYBL_102129T0	540	324.696	6.42632	0.181806
PHYBL_102132T0	540	286.743	0	0
PHYBL_102135T0	540	286.743	0	0
PHYBL_102136T0	540	286.743	0	0
PHYBL_102152T0	540	286.743	0	0
PHYBL_102153T0	324	84.9718	0	0
PHYBL_102157T0	540	286.743	0	0
PHYBL_102160T0	540	332.891	90	2.48349
PHYBL_102164T0	540	286.743	0	0
PHYBL_102175T0	540	286.743	0	0
PHYBL_102179T0	540	286.743	0	0
PHYBL_102181T0	540	286.743	0	0
PHYBL_102185T0	501	247.961	0	0
PHYBL_102198T0	534	280.759	0	0
PHYBL_102202T0	531	277.787	0	0
PHYBL_102204T0	534	280.759	0	0
PHYBL_102215T0	498	244.972	0	0
PHYBL_102220T0	531	277.787	0	0
PHYBL_102221T0	531	277.787	0	0
PHYBL_102222T0	531	277.787	0	0
PHYBL_102225T0	531	308.43	50.4138	1.50147
PHYBL_102227T0	531	277.787	0	0
PHYBL_102236T0	531	306.274	15.544	0.466201
PHYBL_102238T0	531	298.726	9	0.276753
PHYBL_102239T0	531	277.787	0	0
PHYBL_102250T0	531	277.787	0	0
PHYBL_102252T0	531	277.787	0	0
PHYBL_102253T0	531	277.787	0	0
PHYBL_102255T0	531	291.009	2.04406	0.0645222
PHYBL_102272T0	531	277.787	0	0
PHYBL_102296T0	531	277.787	0	0
PHYBL_102304T0	531	288.502	4	0.12736
PHYBL_102309T0	528	274.795	0	0
PHYBL_102310T0	528	274.795	0	0
PHYBL_102311T0	528	300.009	55	1.68403
PHYBL_102312T0	528	286.823	9	0.288237
PHYBL_102313T0	513	259.86	0	0
PHYBL_102316T0	531	277.787	0	0
PHYBL_102318T0	528	274.795	0	0
PHYBL_102322T0	498	244.972	0	0
PHYBL_102328T0	528	274.795	0	0
PHYBL_102330T0	522	268.83	0	0
PHYBL_102333T0	522	278.684	46	1.51624
PHYBL_102335T0	207	33.1614	11	3.04707
PHYBL_102363T0	516	262.845	0	0
PHYBL_102373T0	441	188.786	0	0
PHYBL_102376T0	471	218.219	0	0
PHYBL_102385T0	237	39.3578	10	2.33395
PHYBL_102389T0	504	250.94	0	0
PHYBL_102406T0	489	236.064	205	7.97712
PHYBL_102412T0	273	53.4283	4.42424	0.760658
PHYBL_102425T0	279	56.3828	0	0
PHYBL_102450T0	258	46.7058	0	0
PHYBL_102468T0	510	256.889	0	0
PHYBL_102474T0	513	281.65	31	1.01105
PHYBL_102485T0	513	259.86	0	0
PHYBL_102486T0	531	298.124	33	1.01681
PHYBL_102505T0	411	159.774	327	18.8003
PHYBL_102509T0	492	239.01	6	0.230599
PHYBL_102534T0	492	239.01	0	0
